Feature,Importance
Heart Rate,0.01627544232130219
Systolic_BP,0.009748336871903763
Diet,0.009158740268931353
Triglycerides,0.009122363765038976
Country,0.008787048832271781
Stress Level,0.007531139419674438
Continent,0.007209412597310727
Physical Activity Days Per Week,0.007084501061571102
Income,0.00571203113941966
Age,0.005446355272469916
Sleep Hours Per Day,0.0033935598018400405
Exercise Hours Per Week,0.0033627742392073777
Sedentary Hours Per Day,0.0030066525123849776
Obesity,0.001363269639065834
Smoking,0.00018980891719743153
Alcohol Consumption,0.00012498230714791392
Previous Heart Problems,9.12951167724163e-06
Family History,-0.0011976645435244238
Cholesterol,-0.0013594479830148609
BMI,-0.0017249115357395929
Diastolic_BP,-0.002045152158527941
Hemisphere,-0.0027078556263269715
Medication Use,-0.0030149327671620484
Sex,-0.0031164897381458
Diabetes,-0.0038106157112526183
